;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-04-11;5,619999874;5,80999987;5,639999874;5,479999878;6,389999857;12,00999973;9,239999793;8,229999816;12,21999973;8,389999812;6,149999863;17,04999962;7,249999838;21,40999952
2014-04-12;5,469999878;7,349999836;8,549999809;8,819999803;9,929999778;10,02999978;10,34999977;9,199999794;12,92999971;9,599999785;5,229999883;15,76999965;7,319999836;17,26999961
2014-04-13;4,859999891;8,759999804;8,369999813;8,529999809;9,259999793;11,15999975;11,39999975;9,019999798;12,73999972;10,35999977;6,979999844;17,64999961;9,449999789;19,58999956
2014-04-14;3,209999928;7,789999826;8,389999812;8,709999805;8,609999808;10,59999976;8,369999813;7,069999842;11,50999974;10,70999976;7,929999823;18,41999959;10,29999977;18,88999958
2014-04-15;4,239999905;6,509999854;6,389999857;5,599999875;9,429999789;8,149999818;3,56999992;1,929999957;8,729999805;7,849999825;4,239999905;19,83999956;10,08999977;17,15999962
2014-04-16;5,739999872;5,899999868;7,239999838;6,389999857;9,199999794;8,799999803;3,719999917;2,119999953;7,829999825;7,419999834;3,649999918;16,60999963;4,979999889;18,99999958
2014-04-17;5,129999885;8,809999803;8,809999803;9,229999794;10,39999977;11,28999975;5,069999887;4,02999991;8,329999814;8,229999816;4,509999899;17,6799996;6,499999855;21,37999952
2014-04-18;5,889999868;7,449999833;5,779999871;5,679999873;7,16999984;9,229999794;4,559999898;4,449999901;7,479999833;11,68999974;6,439999856;14,44999968;7,019999843;18,54999959
2014-04-19;7,15999984;8,389999812;7,219999839;5,419999879;7,649999829;8,579999808;6,24999986;7,419999834;5,34999988;12,69999972;7,199999839;13,71999969;9,039999798;17,08999962
2014-04-20;7,809999825;10,23999977;7,439999834;6,379999857;6,639999852;10,48999977;9,279999793;9,519999787;7,749999827;9,189999795;7,919999823;12,50999972;11,58999974;14,10999968
2014-04-21;10,18999977;11,23999975;11,56999974;10,80999976;11,95999973;11,75999974;10,10999977;11,04999975;10,20999977;10,32999977;10,57999976;11,16999975;12,01999973;14,26999968
2014-04-22;12,58999972;10,67999976;10,70999976;9,85999978;9,789999781;12,65999972;12,01999973;10,95999976;11,81999974;13,4999997;12,03999973;13,3199997;14,72999967;15,61999965
2014-04-23;12,26999973;7,049999842;11,47999974;10,28999977;12,36999972;11,44999974;12,46999972;11,61999974;13,5199997;13,4699997;12,81999971;12,82999971;14,27999968;16,22999964
2014-04-24;9,589999786;6,069999864;9,959999777;10,05999978;9,129999796;12,58999972;13,2599997;12,37999972;13,2799997;14,58999967;12,19999973;10,70999976;14,12999968;15,85999965
2014-04-25;9,84999978;7,819999825;8,599999808;8,05999982;10,08999977;11,15999975;13,92999969;13,4699997;12,72999972;13,88999969;10,67999976;9,959999777;13,01999971;13,95999969
2014-04-26;12,12999973;9,959999777;10,36999977;9,749999782;9,579999786;11,09999975;14,23999968;12,84999971;12,83999971;13,93999969;10,26999977;13,09999971;13,00999971;15,78999965
